,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
Gene34,4.987753227153085,4.102745628514168,5.075804558193727,4.322838288487889,5.975119733417751,4.8529426184978615,4.1745028032074885,4.678614158347006,5.412931454275625,4.436275447196025
Gene35,4.177779604433568,5.243687211491912,5.244966571108723,4.49305682462887,4.528961694381677,5.232049937357636,3.5519156585026757,3.5925362256234448,4.281555778747564,4.786552848288153
Gene36,5.310907565598004,6.475356216949552,5.85765962320202,4.840061470036573,4.9809837920973115,3.997470635362191,4.98148686400761,4.711341361079862,5.32271856033809,4.172769056447677
Gene37,5.519346514241172,6.532738913002578,4.891239851543142,5.401711722098941,5.690143991711112,4.5987795281141635,5.224092481810417,5.012592400781795,5.097676098548832,4.226990216144533
Gene38,5.024510174258943,5.49799829124545,6.451143607795042,5.9592708260852065,7.153182457511557,4.23265243711195,5.872320636720678,5.183342005738352,7.189802933217672,4.191701714644848
Gene39,4.160278157819224,4.400607354555978,2.876104275690193,4.474244978319239,4.240867338446302,5.150393786476208,5.3417559757771595,6.876170839215886,5.95042383818605,4.423096344337597
Gene40,4.101585328651642,5.491919171506506,3.6797667929793576,6.831458765854354,6.179440120721287,4.530824347895296,3.2868654709091225,6.353872374165412,4.885460154747382,6.237816311973462
Gene41,3.405572341205633,4.400624977046228,5.005243699718183,5.046980593764742,4.549934528520756,5.622849932347499,3.932379570617406,4.857620514978707,5.120295631711899,5.514438834058749
Gene42,5.71161487808889,3.8753579081621305,3.4658858292643777,6.277676821898509,5.332314011979592,4.251513463443446,6.551151975522523,5.1156746342928585,6.179297184063826,5.067518481410109
Gene43,7.060747924881987,6.755340842443204,4.751035851520927,5.971570950954355,5.645375949585148,6.368631557532349,4.0350765394198955,5.686051459998439,6.058424486849588,3.2412605135768855
Gene44,3.816741487334225,2.9607678222398994,4.730593165555442,5.717542255795962,6.502357052096028,5.074094780419776,6.628615545571292,3.6198985417851084,3.2966175606448456,4.944452301103381
Gene45,5.384065448939308,4.967305251905907,2.9325578999601234,4.910879960487212,3.695530499495147,5.669672548830039,5.366598246096848,4.060120213672644,4.486133082663306,3.9407864781110487
Gene46,4.937320902726828,5.955142320501238,4.014273953664456,5.504046515517844,4.469742381627559,4.207127167737656,4.892969640045442,3.964757677580626,4.446350694652818,3.8021221074111518
Gene47,6.9647251329163895,5.035263551971728,4.300274492007414,5.213979910734222,4.88767195030917,4.779030400466777,5.614166700043425,5.757507710047305,4.4694988523894725,4.42418175935532
Gene48,4.724948302848356,2.698078835264415,3.4848089378014477,6.3668742674445244,6.644967713501284,4.750963960443622,5.576556963055767,5.311250154543536,8.078880808455239,6.119574911434577
Gene49,4.872082408519233,4.0444595593995745,3.3935536797424275,5.203463635867223,4.243649254715697,3.5777462904023256,4.353427115757474,3.9184519963856053,6.687141635072565,5.8816397569494505
Gene50,4.992027358683383,6.479944138890026,5.077368307647618,4.138715798671736,6.5231240772696575,5.538910043684659,3.962753845673544,4.8096613219163915,4.124381746615243,3.617200269035664
Gene51,5.926177547531641,6.9094166404701305,3.6014324261808586,5.562969236690571,4.3493574308781735,4.512874616235304,4.407606075761131,4.136009230320184,5.048521627944827,4.169049883588962
Gene52,5.2704568257798385,4.949761890550863,4.76105195313359,4.092436337958402,4.423228669431667,5.755391225825756,5.500917187624381,4.022444755201449,5.099332305429225,5.751387123371789
Gene53,3.3305947188786282,5.543360192379935,4.337376241054153,5.570598668593159,4.236740843457483,3.195117899335481,3.3724575621168373,5.048084946661382,5.259722501721482,4.095683374895591
Gene54,5.638592458777374,3.33847993773104,4.9339202013526835,3.7889838002375433,4.3481638921978405,5.047398671316414,4.139586634716047,4.615444455770175,6.0062928092144405,4.423108130476852
Gene55,5.835692112065142,3.870293145342382,5.529804177915283,6.4415686206579,2.5283554998727107,4.203104744529523,5.57707212718054,4.796954613957007,5.371145873371309,4.39601481328418
Gene56,5.0865897874729,4.84432276460792,6.167782061659807,5.254420843301213,5.337602662075202,4.588123033877532,4.512393775927507,4.5674418121803795,5.394452142378297,4.5790155191797375
Gene57,5.289774856896413,7.075400798645439,5.8711247034316925,4.6739764678321585,6.201213922163944,4.591924626978448,2.961875464822146,3.9919136890825957,3.1292080789741443,4.648486515958691
Gene58,5.018418379189551,6.676437312275283,5.326927373764162,4.780899471191136,5.829405581183489,2.788864690992115,5.235614558108566,5.770865193886967,3.5214137542201582,6.143754043206929
Gene59,5.338496407494414,4.584712086099199,5.632781866106285,7.270692857804396,5.1818662550584955,5.248220586300336,4.540639100459756,4.150155630535208,5.830335816544245,4.1439161740911326
Gene60,5.071566237219392,4.522342553234884,5.478979825746392,5.333662105286948,6.037539944257899,4.489983601145253,4.730125064706629,4.021236284217693,4.555706739923888,5.377300493044852
Gene61,5.756988616645351,4.077834675822374,5.86960592010566,6.3556378588049505,5.413434903223701,6.876795812558066,4.2262108008964265,3.755345296688583,3.2212797510957216,6.496044311489183
Gene62,5.654365656354058,4.944415329089545,5.27996862631982,3.8745109527016233,7.445751979616826,5.129221181975227,5.109394794604893,5.725766623898692,5.481009231736714,5.223884024279132
Gene63,4.209525544554688,5.471468357135996,6.882024496475034,6.3454200461549775,6.5931866266393975,4.488784323568815,4.010395179741419,4.874213079900352,5.055724912288695,6.094191518470948
Gene64,3.307535370285181,6.529550319460614,4.8419921014210106,4.57311893005258,3.9878956247398323,3.3451433281342307,5.823170583961915,5.073317967188403,3.710039100258946,3.704921227936384
Gene65,4.664215300709872,6.669021525289393,4.740408648636395,3.496857046881894,4.754256935914055,4.72727643025233,2.3031133570584283,4.945705133482188,4.769065469791322,5.696206364813419
Gene66,6.848956094945345,6.126565029547757,4.731111309445169,3.8934740912583297,7.57335980324986,5.059218434014488,5.013929291912946,4.975874912889997,5.198084760767855,4.855639588076057
Gene67,4.4263379931197635,4.453141058759607,4.9672467297840015,4.456575228866235,4.287154217322835,5.106430227691897,4.745022782579145,6.503992988582689,2.349030191606988,6.091506851922462
Gene68,6.246085192497629,2.9266097675918505,4.657312405919651,4.628559134004209,3.5924883052821786,4.222183312409125,3.8894241545341712,6.7522704434236225,5.9356783931474615,6.2715550949941585
Gene69,5.7216720640432355,3.870948228782771,4.475479733720226,5.489374561227918,3.7778721911080546,5.712998430172388,4.759674601841865,4.625179192450402,5.7109599682034915,5.44426331148604
Gene70,4.63903383418092,6.159329803364248,3.9189366724001027,5.615935606944264,5.593101257968383,4.690453560686009,5.326133022242118,3.748886423614697,5.924027019206901,4.8150978635570105
Gene71,4.47727697948096,6.0490092258368895,4.29565630945724,3.5915387036364406,3.4433708264760963,5.60600995134564,3.719570647503717,6.754794181984365,2.918070592116278,6.696456368290038
Gene72,5.211017467202619,4.903286888129608,4.4550809131910505,5.399136114352071,4.962365297575151,6.103301882016521,5.114227648662039,5.150301761461877,4.636387787786144,4.9430543762789325
Gene73,5.307801768892059,3.289831607343374,3.651814577894287,5.743264094022715,5.170865438127942,4.8160166636473205,5.018433933065393,5.347581705361671,4.460240319690638,4.221695274597687
Gene74,5.195845255097682,4.021627222384968,5.4082527557144715,3.2974163957621596,6.029155637325644,5.472597482413043,5.256029734313875,5.982690983945514,6.665474444462577,6.014370065018131
Gene75,3.1591257686683547,3.7204230332642982,4.375181422304321,5.026091050210834,5.517659020469123,4.274256186846534,5.1867667644770785,4.2446170676466775,4.388482197008051,3.5933389031517775
Gene76,4.076766753889096,3.6483153943836664,4.024126747022668,6.05364179660784,4.050601111168057,7.63238206483739,5.493317900880889,5.184836123694874,4.141642219818786,5.700309879408992
Gene77,4.424362173762226,5.122009814645361,7.560084538268795,4.90394010027535,6.149273326285676,4.296823574874113,4.9650115095030385,6.77080063563551,4.373032942212233,6.8124485579969285
Gene78,5.707751935455476,4.437533224105732,5.632407739055521,5.97255444962673,5.621809962217196,3.429775280109544,4.272862824175132,4.752481364448495,4.925566570899954,5.620672097550678
Gene79,5.177701000933254,3.6646556412898987,5.380197851005963,5.6105857452838235,5.559790447931039,6.080780725554622,5.833922154548904,5.459180079228437,4.929834288541353,3.3390390664840086
Gene80,5.4296182191325855,5.207687687163111,5.271578837195373,3.723251424179691,3.9189434595917376,6.053152853332904,4.960444846143345,5.681500697372624,5.0283183761304615,5.0297561394957455
Gene81,5.938283805975997,4.4839552717826265,5.0961207769409835,4.537724711294958,4.565503772567684,4.690827876531361,5.222133771633713,4.5212513783365225,6.255756125573521,4.105392697780496
Gene82,4.813128355838641,4.560268941725825,6.446977884353733,5.196554776511575,6.031844539468635,3.514439626963028,5.267050265869258,5.889630795623437,5.082283989275425,6.065480375065351
Gene83,4.482711549899628,6.40934744018558,7.29889812361925,4.637161439560341,4.554497478599228,6.453384477117701,6.579572145730713,4.477139972846731,4.579813182904143,4.718215391139493
Gene84,3.6555494889657227,4.081348053515802,3.9958592332479324,4.232202434895871,4.965315112613219,5.234214732536521,6.550500492814077,4.001645959261209,5.984322398476584,4.786011155774491
Gene85,4.950536290347567,5.674819492166604,3.8772779784377014,5.3824097461840505,5.166452208213056,5.4924512640081495,5.289168643907818,7.455300139910895,4.362260015748684,4.469003044998182
Gene86,4.3768594735752355,4.444522880839745,4.362612872693482,6.189016531107551,6.420504247989855,4.429253706250524,4.167644426895771,5.471415556386404,4.4477769557190285,5.6329318177555106
Gene87,5.2029230208512995,3.484255885002768,6.547505201330061,6.7958776730955215,4.387211309515614,4.6122984400640155,5.285865390724905,5.3344567899870245,5.65854427267283,7.01020453876635
Gene88,4.82305277250595,4.201702755461547,3.620680771985473,4.269069960058081,4.966873027126203,6.794557863517788,4.482388700963829,5.223787951638898,4.983577103927248,6.188393273448084
Gene89,7.526932425873621,4.4691312270796795,4.510560557481778,6.044160877069072,5.681891489626311,6.846707325736034,5.583928185325964,4.64070790921294,5.590654830692309,6.108703580582908
Gene90,5.820482181197364,5.507274031107298,6.066674689589154,6.169295590445673,6.382158991037527,5.648709887589643,4.832881919683146,5.146713686433323,6.206508966508357,4.183064329012764
Gene91,5.368673308872901,4.606661187672639,5.028744822934818,6.278451862607299,5.191099068019903,5.046436548156149,3.640143859020081,5.746253566027221,5.645484181141075,7.16325472330546
Gene92,4.692221765046999,5.219150327663939,5.2493836837107555,6.577453279763475,4.904704467613048,5.2790215257703395,5.607896509716539,5.186609123156358,4.5535663854494715,5.1940899928983075
Gene93,6.073631749859772,3.9734847005889398,5.132969674146876,4.299879185060827,6.1950466289248425,3.476813095216225,4.441078152728411,5.377211875064521,6.56552402923434,4.934249738927012
Gene94,4.444800473306802,6.88115706944059,3.5519860995837558,2.801194043379918,5.440014450053332,4.497945775647389,3.9787671828692868,5.708356447299353,5.243800713771199,4.435921369263272
Gene95,3.7196956013291054,5.872457328280145,5.650201177958661,4.900824136220617,6.846636996047666,3.9299152336738477,3.474474829075261,4.3080919301187555,4.9544139836445025,5.243339449322692
Gene96,4.75876394214367,5.352055396514297,3.748460575809556,6.44376460407326,4.917848821607431,6.117295831588128,5.342725346377704,5.456753219153784,5.569767280232204,5.447708560017315
Gene97,5.642722759867544,6.329152530132431,5.19652116970147,5.709003757588512,4.910264305712773,6.440117215449472,4.32360769794073,6.800940432910815,4.9598420493556565,3.569224897881952
Gene98,5.128104414910789,4.318948342525119,5.840643548988724,4.3473760206976095,4.55381656678522,3.110459269054469,4.547693680750923,2.5761206733710433,3.4160971765142767,5.760414656144297
Gene99,5.785800158650832,5.425457561784965,4.033023856870787,4.9522886438580205,4.9963974609094315,3.8416353108074572,6.503398301767151,5.877362290575672,4.779035826170336,5.026885838994531
Gene100,5.208382807947553,2.9582651315757094,4.752822617479403,4.318015752002202,3.9983799901050845,4.718899707114045,6.797686526849523,5.64084286126701,4.428821010217203,5.572582781356159
